name,image,parentsName,level
Chăm sóc cá nhân cho bé,,cham-soc-em-be,3
Tăm bông cho bé,,cham-soc-em-be,3
TPCN dành cho trẻ em,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/6.12_6.12-TPCN_D%C3%A0nh_cho_tr%E1%BA%BB_em_6.12-VMS_For_Kids_TPCN_Danh_cho_tre_em.png,me-va-be,2
TPCN cho não của trẻ,,tpcn-danh-cho-tre-em,3
TPCN tiêu hóa cho trẻ,,tpcn-danh-cho-tre-em,3
TPCN dành cho mắt của trẻ,,tpcn-danh-cho-tre-em,3
TPCN tăng chiều cao cho trẻ,,tpcn-danh-cho-tre-em,3
TPCN tổng hợp cho trẻ,,tpcn-danh-cho-tre-em,3
TPCN tăng cân cho trẻ,,tpcn-danh-cho-tre-em,3
TPCN khác cho trẻ,,tpcn-danh-cho-tre-em,3
TPCN Cung cấp vit D cho bé,,tpcn-danh-cho-tre-em,3
Sản phẩm dành cho mẹ,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/photo_2021-08-23_21-08-20.png,me-va-be,2
Dầu dưỡng thể cho mẹ,,san-pham-danh-cho-me,3
Sữa cho mẹ,,san-pham-danh-cho-me,3
Phụ kiện cho mẹ,,san-pham-danh-cho-me,3
Băng lót cho mẹ,,san-pham-danh-cho-me,3
Dụng cụ chăm sóc cho mẹ,,san-pham-danh-cho-me,3
Dung dịch cho mẹ,,san-pham-danh-cho-me,3
Thực phẩm cho mẹ,,san-pham-danh-cho-me,3
Chăm sóc da mặt cho mẹ,,san-pham-danh-cho-me,3
TPCN dành cho phụ nữ mang thai,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/6.16.png,me-va-be,2
Thực phẩm dinh dưỡng,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/2.04Th%E1%BB%B1c_ph%E1%BA%A9m_dinh_d%C6%B0%E1%BB%A1ng_2.04-Nutrition_Food_Thuc_pham_dinh_duong.jpg,cham-soc-suc-khoe,2
Sữa dinh dưỡng,,thuc-pham-dinh-duong,3
Thức uống có lợi cho sức khỏe,,thuc-pham-dinh-duong,3
Thực phẩm có lợi cho sức khỏe,,thuc-pham-dinh-duong,3
Dinh dưỡng thể thao-thể hình,,thuc-pham-dinh-duong,3
Dụng cụ sơ cứu,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/2.06_D%E1%BB%A5ng_c%E1%BB%A5_s%C6%A1_c%E1%BB%A9u_2.06-First_Aids_Dung_cu_so_cuu1.jpg,cham-soc-suc-khoe,2
Băng gạc,,dung-cu-so-cuu,3
Sản phẩm chăm sóc vết thương,,dung-cu-so-cuu,3
Hỗ trợ chấn thương thể thao,,dung-cu-so-cuu,3
Vớ chống giãn tĩnh mạch,,dung-cu-so-cuu,3
Dụng cụ thể thao,,dung-cu-so-cuu,3
Kế hoạch gia đình,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/2.07_K%E1%BA%BF_ho%E1%BA%A1ch_gia_%C4%91%C3%ACnh_2.07-Family_Planning_Ke_hoach_gia_dinh_-_Copy.jpg,cham-soc-suc-khoe,2
